SOTA-REF,COUNTY,STATE
W7I/IC-004,IDAHO,ID
W7I/IC-005,IDAHO,ID
W7I/IC-006,IDAHO,ID
W7I/IC-007,IDAHO,ID
W7I/IC-009,IDAHO,ID
W7I/IC-010,IDAHO,ID
W7I/IC-011,IDAHO,ID
W7I/IC-012,IDAHO,ID
W7I/IC-013,IDAHO,ID
W7I/IC-014,IDAHO,ID
W7I/IC-015,IDAHO,ID
W7I/IC-016,IDAHO,ID
W7I/IC-017,IDAHO,ID
W7I/IC-018,IDAHO,ID
W7I/IC-021,IDAHO,ID
W7I/IC-022,IDAHO,ID
W7I/IC-025,IDAHO,ID
W7I/IC-026,IDAHO,ID
W7I/IC-028,IDAHO,ID
W7I/IC-029,IDAHO,ID
W7I/IC-031,IDAHO,ID
W7I/IC-032,IDAHO,ID
W7I/IC-035,IDAHO,ID
W7I/IC-036,IDAHO,ID
W7I/IC-038,IDAHO,ID
W7I/IC-040,IDAHO,ID
W7I/IC-041,IDAHO,ID
W7I/IC-042,IDAHO,ID
W7I/IC-043,IDAHO,ID
W7I/IC-044,IDAHO,ID
W7I/IC-045,IDAHO,ID
W7I/IC-046,IDAHO,ID
W7I/IC-047,IDAHO,ID
W7I/IC-048,IDAHO,ID
W7I/IC-049,IDAHO,ID
W7I/IC-050,IDAHO,ID
W7I/IC-052,IDAHO,ID
W7I/IC-053,IDAHO,ID
W7I/IC-055,IDAHO,ID
W7I/IC-056,IDAHO,ID
W7I/IC-057,IDAHO,ID
W7I/IC-058,IDAHO,ID
W7I/IC-059,IDAHO,ID
W7I/IC-060,IDAHO,ID
W7I/IC-061,IDAHO,ID
W7I/IC-063,IDAHO,ID
W7I/IC-064,IDAHO,ID
W7I/IC-067,IDAHO,ID
W7I/IC-068,IDAHO,ID
W7I/IC-069,IDAHO,ID
W7I/IC-071,IDAHO,ID
W7I/IC-072,IDAHO,ID
W7I/IC-073,IDAHO,ID
W7I/IC-074,IDAHO,ID
W7I/IC-075,IDAHO,ID
W7I/IC-076,IDAHO,ID
W7I/IC-077,IDAHO,ID
W7I/IC-078,IDAHO,ID
W7I/IC-079,IDAHO,ID
W7I/IC-080,IDAHO,ID
W7I/IC-081,IDAHO,ID
W7I/IC-082,IDAHO,ID
W7I/IC-083,IDAHO,ID
W7I/IC-084,IDAHO,ID
W7I/IC-085,IDAHO,ID
